title,context,label,class,title_len,context_len
组图：刘芳菲低调亮相 与名嘴撒贝宁献身公益,"　　新浪娱乐讯 7月13日，央视3大名嘴撒贝宁、刘芳菲、朱迅共同参加了由某一美容机构主办的“用爱心美丽世界--贫困家庭唇腭裂患者”征集活动的启动仪式，四位主持人受邀担任“爱心大使”。受原国家开发银行副行长王益腐败受贿案牵连的刘芳菲此次露面，多数时间坐在台上面无表情。图库供稿

",14,娱乐,21,139
马骏：人民币国际化利好香港,"　　□本报记者 黄继汇 北京报道
　　德意志银行大中华区首席经济学家马骏博士日前指出，未来真正推动市场的几个主题之一，就是人民币国际化。人民币国际化对中国的金融行业有非常深远的影响，从变化来讲，应该说对香港的影响和冲击更为明显。
　　马骏说，人民币国际化从国际的经验来看，如果满足3个条件的话，这个国家的货币就可以成为国际化货币。所谓国际化货币，就是具有三种功能的货币：一是国际大宗商品可以由它来定价，二是贸易结算用的货币，三是能够成为储备货币。
　　在哪三个条件下一个国家的货币可以变成国际化货币呢？第一，这个国家的GDP要大，整个经济实体要有足够实力，马骏估计中国在12年之后GDP就会超过美国，从而满足第一个条件。第二，一个国家的贸易量要大。6年之后即2016年中国的总体贸易量会超过美国。第三，这个国家的资本项目的管制或者说资本项目要逐步开放，不一定完全开放，但是部分开放是一个必要的条件。
　　过去几年，人民币国际化已经有了初步进展，比如从2009年开始，中国先从人民币贸易结算开始，从去年7月份开始，人民币贸易结算有了长足进展。香港作为人民币贸易结算的中心，在香港人民币的存款以100%的速度在增长。
　　马骏预计，今后几年主要是资本项目开放，包括几个具体的方面：人民币的贸易顺差和外商直接投资(FDI)，可以允许香港融得的人民币以FDI形式进入到中国境内投资。还有人民币的境外直接投资(ODI)，允许在境内或者境外融得的人民币向其他国家投资。之后是小QFII的方案等。
　　对香港人民币离岸市场的增长预测，马骏非常乐观。两、三个月以前，香港的人民币存款有2000亿，他当时就预测4年之后会达到2万亿。现在情况已经变了，他估计时间会提前，可能2013年就会达到2万亿。
　　马骏指出，香港离岸市场的长足进步，对香港的金融行业至少有两方面意义：
　　一方面对香港的银行有非常正面的意义。香港的银行人民币现在只能做存款，法律意义上不是不可以做贷款，因为贷款需求非常有限，贷款融得的人民币没有合法的途径可以拿到境内去使用，一旦人民币FDI规则明细以后，香港人民币贷款就会以非常快的速度增长，对香港银行的增长率和利差就会有很正面的刺激。贷款发生以后，贷款利息减去存款利息以后，中间将有200个基点的利差，现在只做存款的话，恐怕20个基点都没有。
　　另一方面，对香港地产也有很大的刺激作用。马骏估计，今后5年由于人民币离岸市场的发展，在香港的金融行业会创造3万个就业岗位。从历史数据看，香港的存款如果增长10%的话，金融行业的就业就会增长1.8%，把这个比例套用到人民币将达到人民币2万亿的水平，就可以计算出香港金融行业将创造出3万个就业岗位。而这些岗位都是收入很高的工作。比如说从新加坡调一个交易员到香港来交易人民币债券，这个人会带老婆过来，还会带两个小孩过来，还会雇一个保姆，这样一下子就创造了3倍-5倍的人数。多少人会租房子呢？3万个乘上5倍，就有15万个人要租房子，甚至要买房子，而香港每年新增的住房供给只有1万套。

",4,股票,13,1266
西部水泥超购136倍 冻资190亿,"　　新浪财经讯 8月18日消息，西部水泥(2233)将以招股价上限1.69元定价，集资13.91亿元，公开发售超额认购约 136倍，冻结资金190亿元。
　　香港媒体报道称，市场消息透露，西部水泥(2233)将以招股价上限1.69元定价，集资13.91亿元，公开发售超额认购约 136倍，冻结资金190亿元。其一手中签率80%，散户认购两手即能稳获一手；该股将于下周一(23日)挂牌。此外，昨午截飞的耀才证券(1428)，初步已录得150倍超额认购，冻结资金约40亿元。由于认购反应理想，故定价会倾向进取；该股将于下周三(25日)挂牌。
　　另一方面，市场消息指，于伦敦挂牌并以俄罗斯为基地的矿业公司Petropavlovsk，计划 10月初来港上市，集资39亿元。《中国日报》引述消息人士指，中国华能集团旗下从事风力发电业务的子公司华能新能源产业，拟于今年来港上市，集资最多 100亿元人民币(约114.66亿港元)。
欢迎发表评论  我要评论

",4,股票,17,425
胜负彩09084期彩果凯尔特人告负 任九销量1476万,"　　胜负彩09084期14场游戏全国总销量：13817364元，任选九场总销量：14761140元。

",2,彩票,27,52
诺基亚手机游戏服务登陆中国市场,"　　
　　(诺基亚N96)
　　红网12月12日讯（潇湘晨报记者 李伟）国内游戏玩家期待已久的诺基亚N-Gage移动游戏服务中文版12月10日正式上线。通过Web登录N-Gage移动游戏服务中文网站www.n-gage.com/cn，国内玩家即可在线下载并体验各种最新的N-Gage手机游戏。人们还可以通过N-Gage移动游戏服务网站与世界各地的玩家连通，随时查看在线玩家，与他们进行一对一的聊天或邀请他们一起玩手机游戏，或在论坛上发表自己的见解与看法。
　　诺基亚在中国市场各种游戏完整版价格在约人民币38元到56元之间。中国大陆地区用户可以通过神州行手机充值卡或者腾讯Q币快捷地进行本地化购买（港、澳、台用户可通过国际信用卡购买）。用户可以根据自己的需求选择完整版、7天或1天三种不同使用期限进行购买。
　　目前，N-Gage适用于如下终端机型：诺基亚N81、诺基亚N82、诺基亚N79、诺基亚N85和诺基亚N96、诺基亚5320XpressMusic，即将支持的机型有：诺基亚N958GB。
　　诺基亚表示，为方便用户更轻松地选择自己喜爱的移动游戏，所有游戏都可在购买前免费试用。目前，20多款移动游戏已推出其中文版本，如Gameloft的《Asphalt3:StreetRules》（狂野飙车3：街头规则）、《BrothersInArms?》（手足兄弟连）、《BlockBreakerDeluxe》（打砖块）和《Dogz》（无敌Z狗狗）；GluMobile的《WorldSeriesofPokerTMProChallenge》（世界扑克锦标赛TM）以及诺基亚出品的《HookedOn:CreaturesoftheDeep》（深海垂钓）和《SystemRush:Evolution》（系列冲击：进化）等等，此外更有全新游戏新鲜上架，如：THQWireless的《StarWars?:TheForceUnleashed?》（星球大战：原力释放）、诺基亚的《DirkDaggerandtheFallenIdol》（私家侦探）和《ONE》，以及EAMobile体育类游戏FIFA系列等。
　　为了让更多的游戏玩家能够亲密接触诺基亚所提供的全新N-Gage游戏，从2008年12月15日到12月31日，用户只需在N-Gage网站注册成为N-Gage玩家或下载N-Gage应用平台就有机会赢取诺基亚提供的3部N81和200个名额的N-Gage酷趣游戏1款。

",13,游戏,15,1028
维权有证可依家具买卖合同或有统一文本,"　　相信很多消费者在家具买卖交易中，会遇到这种情况：商家出具的凭证往往是一张送货单，没有合同；而这张送货单上的内容，除了家具的名称、价格以外，很少有其他内容，一旦发生质量问题，消费者常因所谓的“口说无凭”而难以维权，今后这样的现象将得到改观，据悉，由相关部门制定的家具买卖格式合同示范文本，年内将在家具行业推广使用。　　
　　家具不附《使用说明书》将成历史
　　此次的合同要求，每件家具均应随附符合国标5296.6-2004要求的《家具使用说明书》，并达到该使用说明书中明示的执行标准：国家标准或行业标准。其中，深色名贵硬木家具，还应当符合《深色名贵硬木家具标准》QB/T2385-2008规定的标准。今后凡经工商、质监抽检，发现质量与说明书中内容不符者，将依据《反不正当竞争法》对相关人员进行处罚。
　　买方违约退货无权要回“定金”
　　近年来，在家具买卖中，因预付款引发的纠纷较多。此次的合同对定金适用规则进行了明确，规定：买方违约退货的，无权要求返还定金；卖方违约不能交货的，应双倍返还定金。从而明晰了在纠纷中关于“定金”与“订金”、“预付款”的区别。而《合同法》中对于“定金”一词有着明确的解释和规定，在金额上不能超过全部买卖价格的20%。
　　确认验收有四种选择
　　验收环节，也常引发家具买卖纠纷，去年，占相城区家具类投诉的70%。此次格式合同通过对这一环节进行细化，来避免可能产生的纠纷。共分成了“验收合格”、“货款两清”、“拒收及原因”和“问题及解决方案”四种情况，供双方在验收后选择。使得格式合同具备了交货和验收的双重功能。过去，很多消费者购买了展销会上的家具发现质量问题后，常投诉无门。今后，这一责任将由展销会主办单位负责追偿。

",5,家居,18,726
成龙演绎武搏会主题歌 情绪高涨做起鬼脸(图),"　　本报讯(记者朱雅清)昨晚，成龙现身乐家轩录音棚为北京首届世界武搏运动会录制主题歌《天行健》。这首歌由王平久作词，冯晓泉作曲并担任制作。身为功夫巨星，成龙表示很荣幸能够演唱这首歌，并且信心十足。
　　探班现场，成龙很认真地一遍遍练习，力图能够最完整地展现歌曲所营造出的武学意境与人文理念。据悉，当初武搏会组委会考虑主题歌演唱者时，第一人选就是成龙。但是成龙忙于赶拍新片《十二生肖》，八地取景行程很紧，在考虑了一个多月后还是婉言谢绝了武博会的邀请。后来得知本届武搏会除了是2008年北京奥运会之后举办的水平最高的国际体育赛事之外，还承担了我国武术“申奥”的重任，成龙毅然承担了每天200万元的损失，积极投身武搏会主题曲的录制，并筹备8月28日的开幕式表演。当晚录完《天行健》，成龙还紧急赶制了一首由王平久作词，常石磊作曲的新歌《风雨同舟》。成龙表示，希望能够通过这首歌表达对舟曲泥石流受灾人民的关怀与爱。

",14,娱乐,22,404
合同到期辽宁无法约束张庆鹏 总局文件恐成助推剂,"　　张庆鹏“入疆”到底有无此事？辽宁省篮管中心副主任王芳表示：“到目前为止，我们还不知道这件事情。”
　　对于这一传言，辽宁盼盼俱乐部副总鲍志荣感到非常气愤，“省体育局、新疆方面及张庆鹏本人都没有跟我谈过这件事！”鲍志荣认为这件事并非空穴来风，但盼盼俱乐部却对此事一无所知，因而非常不满。鲍志荣随后强调，“张庆鹏是盼盼队中的重要一员。作为球队绝对核心，他在盼盼队拿的是顶薪，有必要走吗？”
　　在张庆鹏交流到新疆队这件事上，辽宁盼盼俱乐部的发言权非常有限，这与盼盼集团与辽宁省体育局的合同已经在今年4月30日到期有直接关系。盼盼俱乐部之前只是获得了辽宁男篮的经营权，而所有权一直在辽宁省体育局。合同到期之后，目前辽宁盼盼俱乐部对辽宁男篮已经失去了控制权。张庆鹏同盼盼俱乐部的工作合同也将于9月30日到期，如果体育局想让张庆鹏走，则盼盼俱乐部没有任何理由阻拦张庆鹏。
　　对于这个问题，盼盼俱乐部一高层人士表示：“虽然我们与辽宁省体育局的合同已经到期，不过我们有优先续约权；而且我们同省体育局签约、合作，当然会在合同中注明，我们将全部接收球队队员，怎么可能放弃核心球员？”不过值得一提的是，因一些原因，省体育局及盼盼集团至今尚未完成新一轮续约谈判。
　　换句话说，如果在本月底张庆鹏同盼盼俱乐部的工作合同到期，后者就将失去对张庆鹏的控制权，省体育局对张庆鹏的去与留将拥有绝对的话语权。一旦被上述传言言中，省体育局基于全运会的长远考虑、基于西部省份支援计划，那么张庆鹏“入疆”将是很可能发生的事情，而张庆鹏本人只能服从大局、听从组织安排。
　　辽宁男篮要与新疆男篮做交易，这件事情牵扯到很多方面，其他俱乐部有没有意见。但是国家体育总局最近下发的一份支援大西北的文件，让张庆鹏加盟新疆队的可能性大增。
　　国家体育总局近日给各地体育局下发了一份文件，其中要求各体育发达省份为西部提供支援，其中就包括新疆、西藏、甘肃等西部省份，辽宁作为体育强省自然责无旁贷。这也成为张庆鹏入疆的一个神秘推手，他加盟新疆可谓一举两得，既完成了总局支援西部的任务，同时还实现了为2013年全运会换取援兵的目的。“张庆鹏入疆目前还只是一个意向，最终能否实现还很难说，这其中涉及的东西比较复杂，并不是双方体育局达成协议就能够实现的，毕竟其中还涉及到俱乐部的利益，从这个角度来说，张庆鹏的事最终向什么方向发展还不一定。”有关人士表示，辽宁盼盼俱乐部对此事也没有公开表态，但他们表示对此事并不知情，事实上就是暗示他们并不支持这样的提案。显然，辽宁盼盼俱乐部即使反对张庆鹏交流到新疆，但是有了国家体育总局文件的支持和辽宁省体育局2013全运战略的考虑，盼盼俱乐部要想阻止困难不小。
　　(沈君)

",11,体育,23,1130
五招让你轻松消除心累(图),"　　心若累了，人就失去了灵魂，做事没有了头脑，世间的一切仿佛与他无关；心若累了，无所谓理想，无所谓热爱，一切都变成了灰色，痛苦与压抑缠身，生活的热忱便越来越淡了；心若累了，心就痛了，心就碎了，人也麻木了，就会在人生的棋子上徘徊不前，一切也就无所谓了。
　　在工作中，很多时候我们之所以感到累，更多的是因为不能从中找到乐趣和价值感，在心理上将其当作沉重的包袱，背负着这个包袱才感到格外地累。此外，很多人在工作和生活中总是重复着单调的活动，缺少变化，如此一来，也必然会导致心理上的疲劳。
　　如何才能消除心理上的疲劳，使我们的心情轻松下来，感受愉悦与美好？
　　第一招：换个角度看世界
　　我们之所以不能沉浸在某一特殊时刻所发生的事情中，关键在于过多地关注一些利益攸关的目的，而忽略了去发现和欣赏许多美好的东西。赶车上班，与其为那一个多小时的上班车程而忧心忡忡，倒不如把心思倾注于美丽清晨的每一个细节之中。也许一阵清脆的鸟鸣能让你心情愉快，刚刚盛开的花朵能使你倍感神清气爽，留一份好的心情带到你的工作单位。
　　第二招：丢掉完美主义的枷锁
　　人非圣贤，孰能无过。对自己多一份宽容，我们也能变得更加轻松。
　　第三招：寻觅一两个知己
　　在我们烦恼的时候可能并不需要别人讲太多的大道理，更多的时候，我们是希望心理上的郁闷与烦恼能够一吐为快。所以，亲密的“闺中密友”自然是生活中不可或缺的一个部分。朋友的倾听能让你理清思绪，朋友的理解能给予你支持和鼓励。试着找寻你的闺中密友吧。
　　第四招：让生活多一些变换
　　不妨开动脑筋，变换一下生活的方式，如买本菜谱，尝试着做一些新鲜的菜肴，或是找点理由，偶尔全家人来一顿烛光晚餐。每天定时定点看电视的时间是否可以改为出去散散步运动一下。到了节假日全家出游一次。总之，只要是能做到的都可以试一试，或许只是一个小小的改变就能有意想不到的效果呢。
　　第五招：“胡思乱想”也能消除疲劳
　　心理学家研究发现，“胡思乱想”有助于消除工作、生活中的紧张疲劳，起到放松身心的作用。当你感到疲乏、困倦、无聊的时候就去胡思乱想吧。你可以想象着和老公一起又重新回到了蜜月中的旅行、想象着由于自己的工作业绩突出，工资又长了一倍，想象着自己的宝宝一点一点长大……总之，你的思绪可以四处遨游，只要是快乐的，沉醉的。不过，这种漫无边际的胡思乱想只是日常生活中的一种补充而绝不是替代，要适可而止，不可本末倒至。
　　心累之人，要学会适应。不要独自面对黑暗发呆，要适应社会，适应生活。不必过分在意别人的掌声和称赞，不把别人的行为结果作为自己的追求目标。不断扩大自己心理的空间，方能体验生活本身的意义与快乐。
　　心累之人，要学会释放。把囚禁在心牢中的自己解救出来。所有的抑郁埋藏在心底，只会令自己郁郁寡欢，如果把内心的烦恼告诉别人，心情就会顺利舒畅。开放、豁达的心态可换得一颗年轻、快乐、充满活力的心。忘却不幸，藐视挫折，何尚不是人生的升华。
　　心累之人，要学会调节。要认识自己，不要自己给自己套木枷锁，别给自己定太高的期望值标准，翻跟斗要给自己找一个软着落的地方，爬云梯要给自己找下得来的台阶，实事求是地开发自己的潜能，量身定制设计自己的人生目标。
　　心累之人，要学会微笑。出门一笑，海阔天空。要接纳自己，欣赏自己，喜欢自己，追求完美的同时，容纳不足与毛病。人，只有欣赏自己，才能有信心。不妨学习板桥的糊涂，也不妨模仿阿Q的自嘲，勇敢地面对今天，更好地笑对明天。
　　手酸了，可将手里的东西放下；心累了，请把你的心事放下。

",12,星座,13,1470
国青男篮被认定放弃比赛 后两场全胜仍将无缘4强,"　　独家新闻
　　本报讯 （记者 张健强） 一帆风顺的国青男篮昨天遭遇不快。在男篮亚青赛预赛第2轮第一场的比赛中，国青男篮被判以0比20负于叙利亚青年队。由于国青男篮在第3节对裁判员的判罚非常不满，结果被认为是放弃比赛，按照国际篮联规则，放弃比赛的球队被判罚0比20负。
　　在比赛结束后，本报记者第一时间打电话到伊朗和球队取得了联系。当时的情况是这样的：在第3节还有6分13秒时，国青男篮以46比42领先。但此时，主教练李春江被裁判莫名其妙判罚了一个技术犯规，这引起了全队的不满。在此前的比赛中，裁判过度偏袒的判罚已经引起了球队的不满。在那段时间里，国青男篮连续遭到数次无理吹罚。对于判罚不理解的主教练李春江走到技术台询问技术代表，但菲律宾主裁判当即吹罚他技术犯规。
　　由于语言不通，李春江带着翻译前往技术台交涉，当时国青男篮的球员们回到了自己的座位席前，等待交涉结果。但菲律宾主裁判却在没有提出任何警告的情况下，直接判罚国青男篮放弃比赛告负。
　　国青男篮此前3战全胜进入本届比赛的8强，随后和哈萨克斯坦队、叙利亚队和黎巴嫩队分在同一个小组，这个小组的前两名将进入4强。亚洲篮球网的记者亚瑟曾经写道：“（本次比赛）裁判偏袒西亚球队非常正常，这就是我为什么猜测伊朗队最后会夺冠，但这是对篮球运动的伤害。”
　　按照规则，弃权的球队得0分。这样国青男篮就算后两场全胜，也将无缘4强。

",11,体育,23,594
